1	377 333| 216 894 , | 4546 2257
1	377 333| 216 894 , 26 , | 18 11210 708
1	1121 14917 64412 4 2068| 1142 , | 18 297 1446 7891
1	1121 14917 64412 4 2068| 1142 , | 142 708
1	1121 14917 64412 4 2068| 1142 , | 11541 592
1	1121 14917 64412 4 2068| 1142 , 28 , | 2509 8167 5646
2	24653 438| 216 , 10 , 4870 , 42 , | 56999
2	24653 438| 216 , 10 , 4870 , 42 , 26 , | 18 468 4 24820
2	24653 438| 216 , 10 , 4870 , 42 , 28 , | 153974 1271
4	2097| 1888 , 6 , 4 , 4 , 1314 , | 7 1899 1506
4	2097| 1888 , 6 , 4 , 4 , 1314 , 136 , | 523
4	2097| 4 , | 8605
4	7 5724 875| 4 , 1888 , 4880 1064 , | 830 132 18
4	2097| 1888 , 6 , 4 , | 1757
4	7 5724 875| 4 , 1888 , | 35621
4	2097| 1888 , | 7 20124 1609
4	7 5724 875| 4 , | 89329
4	2097| 4 , 34232 , | 7 101
4	2097| 4 , 9779 , 26 , | 7 12593
4	2097| 4 , 9779 , | 7 3221
4	2097| 1888 , 6 , 4 , | 19 2882
5	1077| 26 , | 18 1761 1791
5	18 469| 1685 , 136 , | 3881 352
5	18 183 184| 4564 , 13 , | 1050
6	8606 8607| 28 , | 830
7	93 4 18 222| 4476 , | 18 469
7	18 1409 4038| 28 , | 1874 15671
8	7 55625| 10 1344 , 42 , 10559 , | 2426
8	7 55625| 10 1344 , 42 , 10559 , 149 , | 153976 388
8	7 55625| 10 1344 , 42 , 10559 , | 142 709
8	7 55625| 10 1344 , 26 , | 262 1597
8	7 55625| 2803 , 26 , | 2125
8	18 975| 4 , | 2565 1432
8	7 55625| 2803 , | 7427 7428 470
8	7 55625| 2803 , | 6447 1543
8	7 55625| 2803 , 26 , | 18 14092 4 1597
9	211| 28 , | 710 23455 4220 26 6128
9	211| 26 , | 4801 14236
9	211| 4 , | 18 17490 14962 293
10	29021| 586 , 10 1641 , 338 , | 1663
10	29021| 192 , | 4252 6879
10	29021| 192 , | 104
10	18 706 3083 6897| 10 , 1114 , | 524 26 4917 515
10	18 706 3083 6897| 10 , 1114 , | 29021
10	29021| 136 , | 7 4579
10	29021| 192 , 6 , | 6036 4 500
11	473 132 509| 951 , | 18 183 184
11	653 363| 42 , | 727 42 1050
11	473 132 509| 4 , | 12768 960
11	473 132 509| | 7 26018
12	1098| 26 , | 14186
12	1098| 28 , | 18 204 4 5971
12	1098| 4 , | 24238
13	427 404 586| 606 , | 5076
13	427 404 586| 606 , 149 , | 4255 670 3394 49 9226
13	427 404 586| 606 , 13 , | 4275 3163
13	3089 5182| 26 , | 256
13	12793| 26 , | 427 404 586
13	427 404 586| 606 , 149 , | 18 183 184
13	427 404 586| 606 , 26 , | 55 74
14	7 968 154 7471 2853| 610 , | 1570
14	7 968 154 7471 2853| 4 , | 16643
14	7 968 154 7471 2853| 610 , | 808
14	7 968 154 7471 2853| 610 , 149 , | 1870
14	7 968 154 7471 2853| 610 , | 256
15	3003| 610 , 26 , | 1675
15	3003| 610 , | 8223 26 904 1597
15	3003| 610 , | 6890 13216
15	3003| 610 , | 808
15	3003| 610 , 26 , | 31617 201
15	3003| 610 , 149 , | 7367
16	4170 153977 4 18 183 184| 4 , | 586 2544
17	18 297 4 2345| 26 , | 256
17	142 15859 355| 10 , 42 , 10 , 407 , 49 , | 18 297 4 2345
17	404 10 661| 10 , 407 , 231 , | 1328 143 4 1850
17	142 15859 355| 10 , 42 , | 404 10 661
18	154 1883 4 18 2518 228 123| 10 2421 156 , | 2 4 315
18	154 1883 4 18 2518 228 123| 10 , | 2476 1341
19	18 516| 12 , 13 , | 7 143 141
20	18 2318| 21966 , 121 , 6 , | 1872 42 1870
20	18 2318| 21966 , | 7 5094 3037 2295
20	18 2318| 21966 , 4 , | 466
20	5719| 10 3252 , 566 , | 18 376
20	5719| 10 3252 , 6 , | 1755
20	5719| 10 3252 , 42 , 26 , | 122 658
20	18 2318| 21966 , | 11473 481
21	1165 85023| 216 894 26 , 26 , 136 , 4 , | 18 7133 2816 275
21	9369| 331 , 136 , | 18 1358 4 7 298 442
21	9369| 331 , | 779 4028
21	7008| 894 , | 23439 11782 85023
21	1165 85023| 216 894 , | 9369
21	7008| 894 , | 1165 85023
21	1165 85023| 216 894 26 , | 18 36308 298 3117
22	10 390 4 7 2421| | 18 512 4 18 465 948
22	10 390 4 7 2421| | 727
22	10 390 4 7 2421| 26 , | 462
22	253| 2543 2 , | 18 972 973 154 1425 38086
23	33988 26 16966| | 390 4 338
23	33988 26 16966| 26 , | 1936 1872
23	33988 26 16966| 4 , 26 , | 15661
23	3332 26 77525| 4 , | 315
24	3393| 2117 , 427 , 10 , | 3885 1064 1755
24	3393| 2117 , 427 , 10 , 132 , | 122 565
24	3393| 2117 , 427 , 10 , 19263 13 , | 4600
24	3393| 2117 , 132 , | 101 2
25	3394| 26 , | 4922
25	153981| 216 606 , | 53828 163
25	153981| 216 606 , 26 , | 104 1969
25	153981| 216 606 , 951 , | 4255 670 3394
25	153981| 216 606 , | 14683
26	8312| 3939 , 649 , | 2572 349
26	8312| 26 , | 5353
27	11478 11479| 26 , 2869 , 26 , | 18 250 3012
27	3901 584| 8007 , | 11478 11479
27	253| 532 , 26 , 7601 , | 3901
27	253| 532 , 26 , 7601 , | 1454 217 7293
27	22097 1847| 136 , | 18 5325 37
27	11478 11479| 26 , 2869 , | 3901 154 131 26 18 183 184
27	3901 584| 8007 , | 22097 1847
27	22097 1847| 149 , | 570
27	3901 584| 8007 , 643 , 13 , | 55276 2054
27	3901 584| 8007 , | 28365
28	1409 1435| 136 , 1866 , | 153982 153983 49 2037
28	1409 1435| 136 , 1866 , | 1497 3879
29	776 4 4534| 216 420 286 , 363 , 231 , 10 2636 4 , 482 149 1090 286 , 42 , 243 , 26 , | 384
29	776 4 4534| 216 420 286 , 363 , 231 , 10 2636 4 , 482 149 1090 286 , 4 , | 18 5553 25688
29	776 4 4534| 216 420 286 26 , | 3594 830
29	776 4 4534| 216 420 286 26 , | 3102 42 18 183 184
29	1630 333| 10 1553 132 , | 2565 1555
29	776 4 4534| 216 420 286 , 363 , 231 , 10 2636 4 , 482 149 1090 286 , | 14769 423
30	15710| 1539 , 26 , | 25517
31	16832| 136 , | 12889
31	16832| 4 , | 272 108759 592
33	45063 153988| 1173 , | 128211 4931
33	153987| 26 , | 15807
34	751 15833| 26 , | 153989
35	151 738| 1688 , 28 , | 18 925 376
35	151 738| 1688 , 1422 , | 18 3157 7843
35	151 738| 1688 , 26 , | 2097
35	151 738| 1688 , 49 , 1422 , | 18 737
37	1328 1850 2383 3189| 1551 3762 , 714 , 951 , | 6614 21
37	2442 153990| 405 , | 1050
37	1050| 42 , 557 , | 808
37	2442 153990| 405 , 149 , | 142 1920
41	16062| 1411 , 93 , 6099 , | 114264
41	10558| 325 , | 2211 10866
41	10558| 325 , | 16062
41	10558| 325 , 4 , | 18 1187 2570 2278
41	16062| 4 , | 26411 26410 6306 940 4148
42	7 900 4 35256 2712| 1524 , | 18 303 17094
43	18 2698 4 18 22804 2278| 176 , | 402 143
45	153993| 1144 , | 93 378 4 18
45	7150| 2629 , | 4511
45	3331 128652 14356| | 18 565 2699
46	1755| 1683 , 136 , | 960
46	7809| 216 , 17681 , | 18 2319
46	7809| 216 , 17681 , 49 , | 1270
46	7809| 216 , 17681 , | 1786 26 58417
46	1755| 1683 , 35 , | 390 4 7 12006 755
47	153994| 856 , 149 , | 7 4153
47	404 10 1169| 49 , 18 , 815 , 10102 , | 3173 708 795
47	3173 708 795| 6 , | 13964 4 2037
47	469| 827 149 829 , | 57176
47	469| 827 149 829 , | 1512 26881
48	18 469| 910 , 4 , 2361 , 26 , | 153995
